Date update,Child sObject,Child field,Child value,Parent sObject,Parent field,Parent value,Error
2021-12-15  19:17:14.034,RecordType,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,Contract,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,SBQQ__Quote__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,SBQQ__QuoteLine__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,Order,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,OrderItem,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,blng__InvoicePlan__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,blng__TaxIntegration__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.034,blng__GLRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__SummaryVariable__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__ProductAttribute__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,Account,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,blng__LegalEntity__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,blng__FinanceBook__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,blng__BillingRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,blng__RevenueRecognitionRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,blng__TaxRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,Product2,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,Pricebook2,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,PricebookEntry,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__BlockPrice__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__DiscountSchedule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__ContractedPrice__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__Dimension__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__DiscountTier__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__Cost__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,ConsumptionSchedule,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,ConsumptionRate,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,ProductConsumptionSchedule,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__ProductFeature__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__ProductOption__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__OptionConstraint__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.035,SBQQ__ConfigurationAttribute__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,blng__BillingTreatment__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,blng__RevenueDistributionMethod__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,blng__RevenueRecognitionTreatment__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,blng__TaxTreatment__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,blng__TaxRate__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__CustomScript__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__PriceRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__PriceCondition__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__PriceAction__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__ProductRule__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__LookupQuery__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__ErrorCondition__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__ProductAction__c,,,,,,CSV FILE DOES NOT EXIST
2021-12-15  19:17:14.036,SBQQ__ConfigurationRule__c,,,,,,CSV FILE DOES NOT EXIST
